year,pv_savings_cad,battery_savings_cad,gross_savings_cad,opex_cad,replacement_cad,net_cash_flow_cad,discounted_cash_flow_cad,cumulative_net_cad,cumulative_discounted_cad
1,4157.05,17991.84,22148.89,2000.0,0.0,20148.89,18656.38,-58160.11,-59652.619999999995
2,4260.35,18160.96,22421.31,2040.0,0.0,20381.31,17473.69,-37778.8,-42178.93
3,4366.11,18324.04,22690.15,2080.8,0.0,20609.35,16360.37,-17169.450000000004,-25818.559999999998
4,4474.38,18480.56,22954.94,2122.42,0.0,20832.52,15312.52,3663.0699999999924,-10506.039999999994
5,4585.22,18629.98,23215.19,2164.86,0.0,21050.33,14326.5,24713.399999999994,3820.4600000000064
6,4698.68,18771.72,23470.4,2208.16,0.0,21262.24,13398.82,45975.64,17219.28
7,4814.82,18905.21,23720.03,2252.32,0.0,21467.71,12526.2,67443.35,29745.479999999996
8,4933.7,19029.82,23963.52,2297.37,0.0,21666.14,11705.54,89109.48999999999,41451.01999999999
9,5055.38,19144.88,24200.26,2343.32,0.0,21856.94,10933.91,110966.43,52384.92999999999
10,5179.92,19249.72,24429.64,2390.19,0.0,22039.46,10208.53,133005.88999999998,62593.45999999999
11,5307.39,19343.62,24651.01,2437.99,0.0,22213.02,9526.78,155218.90999999997,72120.23999999999
12,5437.84,19425.83,24863.67,2486.75,0.0,22376.92,8886.18,177595.82999999996,81006.41999999998
13,5571.34,19495.57,25066.9,2536.48,0.0,22530.42,8284.39,200126.24999999994,89290.81
14,5707.95,19552.0,25259.95,2587.21,0.0,22672.74,7719.18,222798.98999999993,97009.98999999999
15,5847.75,19594.27,25442.03,2638.96,0.0,22803.07,7188.48,245602.05999999994,104198.47
16,5990.8,19621.49,25612.29,2691.74,0.0,22920.55,6690.29,268522.6099999999,110888.76000000001
17,6137.17,19632.7,25769.87,2745.57,0.0,23024.3,6222.75,291546.9099999999,117111.51000000001
18,6286.93,19626.93,25913.86,2800.48,0.0,23113.38,5784.1,314660.2899999999,122895.61000000002
19,6440.16,19603.14,26043.29,2856.49,0.0,23186.8,5372.66,337847.0899999999,128268.27000000002
20,6596.91,19560.25,26157.17,2913.62,0.0,23243.55,4986.86,361090.6399999999,133255.13
