month,bill_without,bill_with,energy_without,energy_with,demand_without,demand_with,nem_without,nem_with,peak_without_kw,peak_with_kw
1,2500.5285117474114,1153.7278378738365,1763.2485117474112,527.1479349195263,737.28,626.5799029543103,0.0,-5.723421736547604e-14,61.44,52.2149919128596
2,2453.100208204879,1028.871452946266,1648.3681222749951,438.96327383585964,804.96,589.9081791104063,-0.22791407011630818,-2.0463630789890885e-14,67.08,49.15901492586721
3,3538.8867898031485,1472.5457595956916,2229.9267898031485,696.4451743494492,1308.96,776.1005852462424,0.0,-2.719602321121784e-14,109.08,64.67504877052241
4,2069.962217052387,1072.2570173628103,1148.6955012260075,420.20012649084754,979.9277636974372,704.8397252904372,-58.66104787105777,-52.782834418474295,81.66064697478643,58.736643774204225
5,315.8571594811764,-95.28355281820464,119.96052069834859,1.1679934797115264e-13,339.84000000000003,0.0,-143.94336121717225,-95.28355281820475,28.32,4.973799150320701e-14
6,235.18305804400185,-110.78456581487653,98.86482090455218,1.7010504116399262e-13,289.44,0.0,-153.12176286055032,-110.7845658148767,24.12,8.064660050877137e-13
7,142.24279927151682,-123.9833811217002,90.73403206445411,1.8563039994035077e-13,212.39999999999998,0.0,-160.8912327929373,-123.98338112170039,17.7,4.618527782440651e-14
8,199.29593549352438,-96.6021380821021,90.53763544851496,1.506638216963729e-13,241.92000000000002,0.0,-133.16169995499058,-96.60213808210226,20.16,4.973799150320701e-14
9,221.46581229102617,-40.90623821578022,95.50369691510521,1.0958373097835763e-13,202.32,0.0,-76.357884624079,-40.90623821578033,16.86,2.0099477637813834e-12
10,319.54811178578495,26.814890392262388,134.3389207724708,19.00323742889842,220.32,24.78405149454468,-35.11080898668578,-16.972398531180712,18.36,2.0653376245454265
11,3824.7567826253367,1913.1204383009658,2445.9567826253365,925.9987406556978,1378.8000000000002,987.1216976452679,0.0,-1.5454304502782187e-14,114.9,82.26014147043927
12,2709.1242559165858,1145.8997599204936,1890.810997593641,551.2670779310165,818.3409441880322,594.6326819894772,-0.027685865087572904,-1.9113599591946698e-14,68.19507868233602,49.55272349912315
