Date/Time,Electricity:Facility [kW](Hourly)
 01/01  00:00:00,53.76
 01/01  01:00:00,52.98
 01/01  02:00:00,53.1
 01/01  03:00:00,53.04
 01/01  04:00:00,52.68
 01/01  05:00:00,53.76
 01/01  06:00:00,51.96
 01/01  07:00:00,52.38
 01/01  08:00:00,52.8
 01/01  09:00:00,52.92
 01/01  10:00:00,58.56
 01/01  11:00:00,53.76
 01/01  12:00:00,53.58
 01/01  13:00:00,54.54
 01/01  14:00:00,54.3
 01/01  15:00:00,54.54
 01/01  16:00:00,56.88
 01/01  17:00:00,64.74
 01/01  18:00:00,65.88
 01/01  19:00:00,73.56
 01/01  20:00:00,73.5
 01/01  21:00:00,60.06
 01/01  22:00:00,53.82
 01/01  23:00:00,53.34
 01/02  00:00:00,51.42
 01/02  01:00:00,48.54
 01/02  02:00:00,51.54
 01/02  03:00:00,48.36
 01/02  04:00:00,48.0
 01/02  05:00:00,50.28
 01/02  06:00:00,46.44
 01/02  07:00:00,49.32
 01/02  08:00:00,47.4
 01/02  09:00:00,47.94
 01/02  10:00:00,48.48
 01/02  11:00:00,50.4
 01/02  12:00:00,50.34
 01/02  13:00:00,50.76
 01/02  14:00:00,48.36
 01/02  15:00:00,48.36
 01/02  16:00:00,47.52
 01/02  17:00:00,46.5
 01/02  18:00:00,46.5
 01/02  19:00:00,52.38
 01/02  20:00:00,50.22
 01/02  21:00:00,46.62
 01/02  22:00:00,46.74
 01/02  23:00:00,46.86
 01/03  00:00:00,46.62
 01/03  01:00:00,46.92
 01/03  02:00:00,46.68
 01/03  03:00:00,47.28
 01/03  04:00:00,46.98
 01/03  05:00:00,46.8
 01/03  06:00:00,46.56
 01/03  07:00:00,47.34
 01/03  08:00:00,54.48
 01/03  09:00:00,54.96
 01/03  10:00:00,52.02
 01/03  11:00:00,53.16
 01/03  12:00:00,54.18
 01/03  13:00:00,52.8
 01/03  14:00:00,51.36
 01/03  15:00:00,52.26
 01/03  16:00:00,60.96
 01/03  17:00:00,62.22
 01/03  18:00:00,53.1
 01/03  19:00:00,46.86
 01/03  20:00:00,46.74
 01/03  21:00:00,47.82
 01/03  22:00:00,46.8
 01/03  23:00:00,46.32
 01/04  00:00:00,46.74
 01/04  01:00:00,47.04
 01/04  02:00:00,46.62
 01/04  03:00:00,46.98
 01/04  04:00:00,46.44
 01/04  05:00:00,46.92
 01/04  06:00:00,46.92
 01/04  07:00:00,46.86
 01/04  08:00:00,46.5
 01/04  09:00:00,48.72
 01/04  10:00:00,49.74
 01/04  11:00:00,50.4
 01/04  12:00:00,69.48
 01/04  13:00:00,72.9
 01/04  14:00:00,73.62
 01/04  15:00:00,67.68
 01/04  16:00:00,67.08
 01/04  17:00:00,63.66
 01/04  18:00:00,71.82
 01/04  19:00:00,65.22
 01/04  20:00:00,53.4
 01/04  21:00:00,53.34
 01/04  22:00:00,48.96
 01/04  23:00:00,50.88
 01/05  00:00:00,60.36
 01/05  01:00:00,60.48
 01/05  02:00:00,60.78
 01/05  03:00:00,60.48
 01/05  04:00:00,60.54
 01/05  05:00:00,60.72
 01/05  06:00:00,58.86
 01/05  07:00:00,46.32
 01/05  08:00:00,48.06
 01/05  09:00:00,53.64
 01/05  10:00:00,57.84
 01/05  11:00:00,56.64
 01/05  12:00:00,49.62
 01/05  13:00:00,48.18
 01/05  14:00:00,47.34
 01/05  15:00:00,46.8
 01/05  16:00:00,46.86
 01/05  17:00:00,47.16
 01/05  18:00:00,47.04
 01/05  19:00:00,47.52
 01/05  20:00:00,47.4
 01/05  21:00:00,47.76
 01/05  22:00:00,47.16
 01/05  23:00:00,47.52
 01/06  00:00:00,47.4
 01/06  01:00:00,47.82
 01/06  02:00:00,48.18
 01/06  03:00:00,47.28
 01/06  04:00:00,47.64
 01/06  05:00:00,47.28
 01/06  06:00:00,47.7
 01/06  07:00:00,50.28
 01/06  08:00:00,50.76
 01/06  09:00:00,41.76
 01/06  10:00:00,31.68
 01/06  11:00:00,31.14
 01/06  12:00:00,40.92
 01/06  13:00:00,45.72
 01/06  14:00:00,45.0
 01/06  15:00:00,45.12
 01/06  16:00:00,44.52
 01/06  17:00:00,46.32
 01/06  18:00:00,58.26
 01/06  19:00:00,56.34
 01/06  20:00:00,57.54
 01/06  21:00:00,57.42
 01/06  22:00:00,50.28
 01/06  23:00:00,46.14
 01/07  00:00:00,45.66
 01/07  01:00:00,45.54
 01/07  02:00:00,45.54
 01/07  03:00:00,45.6
 01/07  04:00:00,45.36
 01/07  05:00:00,45.12
 01/07  06:00:00,43.5
 01/07  07:00:00,29.28
 01/07  08:00:00,29.58
 01/07  09:00:00,30.0
 01/07  10:00:00,45.12
 01/07  11:00:00,44.7
 01/07  12:00:00,43.98
 01/07  13:00:00,43.5
 01/07  14:00:00,44.1
 01/07  15:00:00,44.4
 01/07  16:00:00,46.2
 01/07  17:00:00,48.9
 01/07  18:00:00,53.64
 01/07  19:00:00,49.68
 01/07  20:00:00,54.06
 01/07  21:00:00,56.52
 01/07  22:00:00,57.66
 01/07  23:00:00,48.6
 01/08  00:00:00,45.48
 01/08  01:00:00,45.9
 01/08  02:00:00,45.42
 01/08  03:00:00,45.54
 01/08  04:00:00,45.78
 01/08  05:00:00,29.64
 01/08  06:00:00,29.4
 01/08  07:00:00,30.42
 01/08  08:00:00,30.36
 01/08  09:00:00,32.46
 01/08  10:00:00,44.22
 01/08  11:00:00,44.64
 01/08  12:00:00,45.12
 01/08  13:00:00,44.34
 01/08  14:00:00,43.8
 01/08  15:00:00,44.16
 01/08  16:00:00,43.62
 01/08  17:00:00,49.98
 01/08  18:00:00,49.86
 01/08  19:00:00,53.76
 01/08  20:00:00,71.22
 01/08  21:00:00,70.62
 01/08  22:00:00,66.84
 01/08  23:00:00,60.3
 01/09  00:00:00,60.12
 01/09  01:00:00,41.52
 01/09  02:00:00,41.58
 01/09  03:00:00,39.66
 01/09  04:00:00,32.46
 01/09  05:00:00,29.88
 01/09  06:00:00,41.82
 01/09  07:00:00,44.76
 01/09  08:00:00,45.06
 01/09  09:00:00,45.84
 01/09  10:00:00,45.3
 01/09  11:00:00,45.0
 01/09  12:00:00,44.82
 01/09  13:00:00,44.34
