month,bill_no_es,bill_es,demand_no_es,demand_es,energy_no_es,energy_es
Jan,6081.420965999994,5392.516051296316,2091.4896,1388.6943913978498,3989.931365999995,4003.821659898466
Feb,6158.410644000001,5323.366832964031,2341.104,1494.439901824212,3817.306644000001,3828.9269311398198
Mar,7679.7744479999965,7153.38847628282,2905.4496,2377.0920727272733,4774.324847999997,4776.296403555547
Apr,5219.197066799999,4794.453527537128,2099.2416,1667.8396487804882,3119.9554668,3126.6138787566397
May,1453.841298,962.7329705897821,761.2464,262.4974468980003,692.5948980000001,700.2355236917819
Jun,1213.7574419999992,797.2765361481479,685.2768,262.3621333333325,528.4806419999993,534.9144028148154
Jul,1028.9942580000006,657.7397710186813,550.392,169.0649696181963,478.60225800000046,488.67480140048497
Aug,1004.7944699999999,571.6174550385311,620.16,180.59114882154884,384.63446999999996,391.0263062169823
Sep,760.2312119999997,465.2880009425817,435.6624,134.56986416107375,324.5688119999997,330.71813678150795
Oct,763.478814,467.9443055555545,474.4224,172.4389333333335,289.056414,295.505372222221
Nov,6812.552712000002,6115.42716550002,2969.016,2267.330800000018,3843.536712000003,3848.0963655000023
Dec,4511.712744000001,3767.699614428573,1832.5728000000001,1075.1285714285725,2679.1399440000014,2692.571043000001
