month,bill_no_es,bill_es,demand_no_es,demand_es,energy_no_es,energy_es
Jan,6081.420965999994,5368.232478560894,2091.4896,1362.3252630327017,3989.931365999995,4005.907215528193
Feb,6158.410644000001,5298.729898293899,2341.104,1467.9184215591913,3817.306644000001,3830.8114767347074
Mar,7679.7744479999965,6966.462507333335,2905.4496,2189.1648,4774.324847999997,4777.297707333336
Apr,5219.197066799999,4763.967844002581,2099.2416,1635.329911741936,3119.9554668,3128.637932260645
May,1453.841298,959.1020697884098,761.2464,258.5439559743673,692.5948980000001,700.5581138140426
Jun,1213.7574419999992,730.9817025067923,685.2768,192.36189312233677,528.4806419999993,538.6198093844555
Jul,1028.9942580000006,650.0053746461303,550.392,160.68124473257666,478.60225800000046,489.32412991355375
Aug,1004.7944699999999,538.6483031789677,620.16,145.89888322147664,384.63446999999996,392.74941995749106
Sep,760.2312119999997,457.46490861982,435.6624,126.23304161073828,324.5688119999997,331.2318670090817
Oct,763.478814,449.4547493482298,474.4224,153.1258189944135,289.056414,296.32893035381636
Nov,6812.552712000002,5938.049757166668,2969.016,2086.4508,3843.536712000003,3851.5989571666682
Dec,4511.712744000001,3708.634682081025,1832.5728000000001,1010.9917944444459,2679.1399440000014,2697.642887636579
