month,bill_no_es,bill_es,demand_no_es,demand_es,energy_no_es,energy_es
Jan,6081.420965999994,5619.567338416664,2091.4896,1626.1758,3989.931365999995,3993.3915384166644
Feb,6158.410644000001,5672.43158066667,2341.104,1854.2784000000001,3817.306644000001,3818.15318066667
Mar,7679.7744479999965,7457.108314666662,2905.4496,2682.192,4774.324847999997,4774.916314666662
Apr,5219.197066799999,4952.96722289375,2099.2416,1831.0829625,3119.9554668,3121.8842603937496
May,1453.841298,1120.8071714444447,761.2464,426.10159999999996,692.5948980000001,694.7055714444448
Jun,1213.7574419999992,1002.457525000001,685.2768,473.0565714285725,528.4806419999993,529.4009535714285
Jul,1028.9942580000006,775.2219399166659,550.392,292.8318,478.60225800000046,482.3901399166659
Aug,1004.7944699999999,718.3772367999995,620.16,332.09568,384.63446999999996,386.2815567999996
Sep,760.2312119999997,625.0103002666665,435.6624,299.84736,324.5688119999997,325.1629402666665
Oct,763.478814,626.6654937333335,474.4224,335.81664,289.056414,290.84885373333344
Nov,6812.552712000002,6496.444107000003,2969.016,2651.9592,3843.536712000003,3844.4849070000027
Dec,4511.712744000001,3997.244846882154,1832.5728000000001,1315.0524121212118,2679.1399440000014,2682.192434760942
