month,bill_no_es,bill_es,demand_no_es,demand_es,energy_no_es,energy_es
Jan,6081.420965999994,5444.702725286725,2091.4896,1444.264283870968,3989.931365999995,4000.438441415756
Feb,6158.410644000001,5406.841413999987,2341.104,1582.9584,3817.306644000001,3823.883013999987
Mar,7679.7744479999965,7246.859223757578,2905.4496,2471.055709090909,4774.324847999997,4775.803514666668
Apr,5219.197066799999,4826.516545066669,2099.2416,1701.4089599999998,3119.9554668,3125.1075850666693
May,1453.841298,971.3816663030358,761.2464,271.8133090909089,692.5948980000001,699.5683572121269
Jun,1213.7574419999992,867.1282431904735,685.2768,334.9971428571425,528.4806419999993,532.1311003333311
Jul,1028.9942580000006,661.6304968621705,550.392,173.26318245328972,478.60225800000046,488.36731440888076
Aug,1004.7944699999999,588.2224157530848,620.16,197.99182222222217,384.63446999999996,390.23059353086256
Sep,760.2312119999997,471.8440967048241,435.6624,141.51967676767634,324.5688119999997,330.32441993714775
Oct,763.478814,477.2206975655414,474.4224,182.11683595505602,289.056414,295.1038616104854
Nov,6812.552712000002,6242.897310333336,2969.016,2396.5308,3843.536712000003,3846.3665103333356
Dec,4511.712744000001,3837.153559443647,1832.5728000000001,1149.136402877697,2679.1399440000014,2688.01715656595
